index,question_id,question_name
1,1249,Minimum Remove to Make Valid Parentheses
2,408,Valid Word Abbreviation
3,680,Valid Palindrome II
4,215,Kth Largest Element in an Array
5,314,Binary Tree Vertical Order Traversal
6,543,Diameter of Binary Tree
7,199,Binary Tree Right Side View
8,1650,Lowest Common Ancestor of a Binary Tree III
9,227,Basic Calculator II
10,1762,Buildings With an Ocean View
11,560,Subarray Sum Equals K
12,339,Nested List Weight Sum
13,236,Lowest Common Ancestor of a Binary Tree
14,528,Random Pick with Weight
15,125,Valid Palindrome
16,1,Two Sum
17,56,Merge Intervals
18,50,Pow(x, n)
19,162,Find Peak Element
20,1091,Shortest Path in Binary Matrix
21,138,Copy List with Random Pointer
22,347,Top K Frequent Elements
23,88,Merge Sorted Array
24,71,Simplify Path
25,129,Sum Root to Leaf Numbers
26,31,Next Permutation
27,938,Range Sum of BST
28,146,Lru Cache
29,973,K Closest Points to Origin
30,23,Merge k Sorted Lists
31,121,Best Time to Buy and Sell Stock
32,346,Moving Average from Data Stream
33,827,Making A Large Island
34,921,Minimum Add to Make Parentheses Valid
35,34,Find First and Last Position of Element in Sorted Array
36,1570,Dot Product of Two Sparse Vectors
37,986,Interval List Intersections
38,670,Maximum Swap
39,791,Custom Sort String
40,76,Minimum Window Substring
41,1004,Max Consecutive Ones III
42,133,Clone Graph
43,863,All Nodes Distance K in Binary Tree
44,65,Valid Number
45,498,Diagonal Traverse
46,1539,Kth Missing Positive Number
47,480,Sliding Window Median
48,708,Insert into a Sorted Circular Linked List
49,987,Vertical Order Traversal of a Binary Tree
50,19,Remove Nth Node From End of List
51,415,Add Strings
52,636,Exclusive Time of Functions
53,489,Robot Room Cleaner
54,249,Group Shifted Strings
55,20,Valid Parentheses
56,378,Kth Smallest Element in a Sorted Matrix
57,207,Course Schedule
58,219,Contains Duplicate II
59,523,Continuous Subarray Sum
60,270,Closest Binary Search Tree Value
61,282,Expression Add Operators
62,647,Palindromic Substrings
63,721,Accounts Merge
64,2,Add Two Numbers
65,4,Median of Two Sorted Arrays
66,8,String to Integer (atoi)
67,173,Binary Search Tree Iterator
68,536,Construct Binary Tree from String
69,14,Longest Common Prefix
70,26,Remove Duplicates from Sorted Array
71,200,Number of Islands
72,15,3Sum
73,246,Strobogrammatic Number
74,295,Find Median from Data Stream
75,394,Decode String
76,398,Random Pick Index
77,426,Convert Binary Search Tree to Sorted Doubly Linked List
78,824,Goat Latin
79,1094,Car Pooling
80,301,Remove Invalid Parentheses
81,958,Check Completeness of a Binary Tree
82,977,Squares of a Sorted Array
83,3,Longest Substring Without Repeating Characters
84,5,Longest Palindromic Substring
85,53,Maximum Subarray
86,73,Set Matrix Zeroes
87,163,Missing Ranges
88,354,Russian Doll Envelopes
89,605,Can Place Flowers
90,1047,Remove All Adjacent Duplicates In String
91,1216,Valid Palindrome III
92,3527,Find the Most Common Response
93,1768,Merge Strings Alternately
94,1891,Cutting Ribbons
95,9,Palindrome Number
96,70,Climbing Stairs
97,123,Best Time to Buy and Sell Stock III
98,124,Binary Tree Maximum Path Sum
99,127,Word Ladder
100,159,Longest Substring with At Most Two Distinct Characters
101,2265,Count Nodes Equal to Average of Subtree
102,348,Design Tic-Tac-Toe
103,3545,Minimum Deletions for At Most K Distinct Characters
104,75,Sort Colors
105,724,Find Pivot Index
106,1011,Capacity To Ship Packages Within D Days
107,1060,Missing Element in Sorted Array
108,21,Merge Two Sorted Lists
109,33,Search in Rotated Sorted Array
110,49,Group Anagrams
111,78,Subsets
112,122,Best Time to Buy and Sell Stock II
113,126,Word Ladder II
114,169,Majority Element
115,253,Meeting Rooms II
116,269,Alien Dictionary
117,529,Minesweeper
118,1110,Delete Nodes And Return Forest
119,1757,Recyclable and Low Fat Products
120,67,Add Binary
121,74,Search a 2D Matrix
122,94,Binary Tree Inorder Traversal
123,235,Lowest Common Ancestor of a Binary Search Tree
124,239,Sliding Window Maximum
125,303,Range Sum Query - Immutable
126,2235,Add Two Integers
127,2667,Create Hello World Function
128,875,Koko Eating Bananas
129,934,Shortest Bridge
130,42,Trapping Rain Water
131,116,Populating Next Right Pointers in Each Node
132,139,Word Break
133,148,Sort List
134,167,Two Sum II - Input Array Is Sorted
135,2094,Finding 3-Digit Even Numbers
136,189,Rotate Array
137,202,Happy Number
138,247,Strobogrammatic Number II
139,297,Serialize and Deserialize Binary Tree
140,317,Shortest Distance from All Buildings
141,419,Battleships in a Board
142,510,Inorder Successor in BST II
143,643,Maximum Average Subarray I
144,658,Find K Closest Elements
145,825,Friends Of Appropriate Ages
146,1868,Product of Two Run-Length Encoded Arrays
147,11,Container With Most Water
148,22,Generate Parentheses
149,66,Plus One
150,68,Text Justification
151,234,Palindrome Linked List
152,238,Product of Array Except Self
153,329,Longest Increasing Path in a Matrix
154,380,Insert Delete GetRandom O(1)
155,490,The Maze
156,766,Toeplitz Matrix
157,1209,Remove All Adjacent Duplicates in String II
158,6,Zigzag Conversion
159,7,Reverse Integer
160,13,Roman to Integer
161,17,Letter Combinations of a Phone Number
162,35,Search Insert Position
163,43,Multiply Strings
164,54,Spiral Matrix
165,55,Jump Game
166,90,Subsets II
167,117,Populating Next Right Pointers in Each Node II
168,140,Word Break II
169,149,Max Points on a Line
170,224,Basic Calculator
171,2176,Count Equal and Divisible Pairs in an Array
172,242,Valid Anagram
173,283,Move Zeroes
174,368,Largest Divisible Subset
175,424,Longest Repeating Character Replacement
176,540,Single Element in a Sorted Array
177,545,Boundary of Binary Tree
178,570,Managers with at Least 5 Direct Reports
179,595,Big Countries
180,784,Letter Case Permutation
181,790,Domino and Tromino Tiling
182,968,Binary Tree Cameras
183,994,Rotten Oranges
184,1071,Greatest Common Divisor of Strings
185,1229,Meeting Scheduler
186,1295,Find Numbers with Even Number of Digits
187,1424,Diagonal Traverse II
188,1443,Minimum Time to Collect All Apples in a Tree
189,1838,Frequency of the Most Frequent Element
190,1857,Largest Color Value in a Directed Graph
191,27,Remove Element
192,32,Longest Valid Parentheses
193,41,First Missing Positive
194,48,Rotate Image
195,51,N-Queens
196,62,Unique Paths
197,80,Remove Duplicates from Sorted Array II
198,81,Search in Rotated Sorted Array II
199,84,Largest Rectangle in Histogram
200,101,Symmetric Tree
201,102,Binary Tree Level Order Traversal
202,103,Binary Tree Zigzag Level Order Traversal
203,113,Path Sum II
204,118,Pascal's Triangle
205,141,Linked List Cycle
206,151,Reverse Words in a String
207,155,Min Stack
208,2145,Count the Hidden Sequences
209,206,Reverse Linked List
210,230,Kth Smallest Element in a BST
211,271,Encode and Decode Strings
212,328,Odd Even Linked List
213,332,Reconstruct Itinerary
214,349,Intersection of Two Arrays
215,2302,Count Subarrays With Score Less Than K
216,399,Evaluate Division
217,416,Partition Equal Subset Sum
218,2401,Longest Nice Subarray
219,455,Assign Cookies
220,494,Target Sum
221,538,Convert BST to Greater Tree
222,556,Next Greater Element III
223,561,Array Partition
224,633,Sum of Square Numbers
225,2551,Put Marbles in Bags
226,2560,House Robber IV
227,698,Partition to K Equal Sum Subsets
228,778,Swim in Rising Water
229,852,Peak Index in a Mountain Array
230,905,Sort Array By Parity
231,909,Snakes and Ladders
232,509,Fibonacci Number
233,2929,Distribute Candies Among Children II
234,2962,Count Subarrays Where Max Element Appears at Least K Times
235,1944,Number of Visible People in a Queue
236,1235,Maximum Profit in Job Scheduling
237,2192,All Ancestors of a Node in a DAG
238,1399,Count Largest Group
239,1446,Consecutive Characters
240,1470,Shuffle the Array
241,3343,Count Number of Balanced Permutations
242,3356,Zero Array Transformation II  
243,3362,Zero Array Transformation III  
244,1644,Lowest Common Ancestor of a Binary xxTree II  
245,3533,Concatenated Divisibility  
246,1679,Max Number of K-Sum Pairs  
247,1778,Shortest Path in a Hidden Grid  
248,1903,Largest Odd Number in String  
249,1926,Nearest Exit from Entrance in Maze  
250,16,3Sum Closest  
251,18,4Sum  
252,28,Find the Index of the First Occurrence in a String  
253,1945,Sum of Digits of String After Convert  
254,38,Count and Say  
255,45,Jump Game II  
256,58,Length of Last Word  
257,59,Spiral Matrix II  
258,61,Rotate List  
259,69,Sqrt(x)  
260,72,Edit Distance  
261,85,Maximal Rectangle  
262,98,Validate Binary Search Tree  
263,109,Convert Sorted List to Binary Search Tree  
264,111,Minimum Depth of Binary Tree  
265,115,Distinct Subsequences  
266,120,Triangle  
267,128,Longest Consecutive Sequence  
268,1931,Painting a Grid With Three Different Colors  
269,131,Palindrome Partitioning  
270,2071,Maximum Number of Tasks You Can Assign  
271,132,Palindrome Partitioning II  
272,136,Single Number  
273,2060,Check if an Original String Exists Given Two Encoded Strings  
274,144,Binary Tree Preorder Traversal  
275,153,Find Minimum in Rotated Sorted Array  
276,178,Rank Scores  
277,179,Largest Number  
278,2104,Sum of Subarray Ranges  
279,183,Customers Who Never Order  
280,2119,A Number After a Double Reversal  
281,2131,Longest Palindrome by Concatenating Two Letter Words  
282,205,Isomorphic Strings  
283,209,Minimum Size Subarray Sum  
284,210,Course Schedule II  
285,212,Word Search II  
286,2140,Solving Questions With Brainpower  
287,261,Graph Valid Tree  
288,268,Missing Number  
289,286,Walls and Gates  
290,2259,Remove Digit From Number to Maximize Result  
291,2256,Minimum Average Difference  
292,300,Longest Increasing Subsequence  
293,304,Range Sum Query 2D - Immutable  
294,326,Power of Three  
295,334,Increasing Triplet Subsequence  
296,343,Integer Break  
297,350,Intersection of Two Arrays II  
298,367,Valid Perfect Square  
299,384,Shuffle an Array  
300,392,Is Subsequence  
301,405,Convert a Number to Hexadecimal  
302,410,Split Array Largest Sum  
303,485,Max Consecutive Ones  
304,503,Next Greater Element II  
305,525,Contiguous Array  
306,542,01 Matrix  
307,564,Find the Closest Palindrome  
308,2537,Count the Number of Good Subarrays  
309,602,Friend Requests II: Who Has the Most Friends  
310,606,Construct String from Binary Tree  
311,610,Triangle Judgement  
312,2563,Count the Number of Fair Pairs  
313,661,Image Smoother  
314,678,Valid Parenthesis String  
315,2629,Function Composition  
316,695,Max Area of Island  
317,716,Max Stack  
318,735,Asteroid Collision  
319,2694,Event Emitter  
320,2704,To Be Or Not To Be  
321,763,Partition Labels  
322,704,Binary Search  
323,781,Rabbits in Forest  
324,2799,Count Complete Subarrays in an Array  
325,797,All Paths From Source to Target  
326,705,Design HashSet  
327,814,Binary Tree Pruning  
328,836,Rectangle Overlap  
329,838,Push Dominoes  
330,844,Backspace String Compare  
331,865,Smallest Subtree with all the Deepest Nodes  
332,478,Generate Random Point in a Circle  
333,896,Monotonic Array  
334,918,Maximum Sum Circular Subarray  
335,946,Validate Stack Sequences  
336,947,Most Stones Removed with Same Row or Column  
337,2864,Maximum Odd Binary Number  
338,2877,Create a DataFrame from List  
339,980,Unique Paths III